Date: 20.2.2020 , In use by: Mena
Daytime: 11:49:15, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:49:23
97, 1775509.00, 9685580.00, 8495986.00,25, 9936
98, 1775459.00, 9685553.00, 8495649.00,25, 10041
99, 1775436.00, 9685474.00, 8495384.00,25, 10145
100, 1775424.00, 9685378.00, 8495502.00,25, 10250
101, 1775393.00, 9685199.00, 8495209.00,25, 10355
102, 1775319.00, 9685067.00, 8494927.00,25, 10459
103, 1775354.00, 9685044.00, 8494790.00,25, 10564
104, 1775189.00, 9684740.00, 8494665.00,25, 10668
105, 1774006.00, 9686585.00, 8501351.00,25, 10773
106, 1773183.00, 9686670.00, 8502916.00,25, 10878
107, 1770068.00, 9688473.00, 8509912.00,25, 10982
108, 1761933.00, 9694218.00, 8521314.00,25, 11087
109, 1754019.00, 9699268.00, 8526406.00,25, 11191
110, 1741822.00, 9707008.00, 8533875.00,25, 11296
111, 1737103.00, 9713536.00, 8536842.00,25, 11401
112, 1736917.00, 9713500.00, 8536609.00,25, 11505
113, 1736973.00, 9713649.00, 8536593.00,25, 11610
114, 1737011.00, 9713494.00, 8536557.00,25, 11714
115, 1736847.00, 9713120.00, 8536435.00,25, 11819
116, 1736622.00, 9713159.00, 8536316.00,25, 11924
117, 1736473.00, 9713353.00, 8536380.00,25, 12028
118, 1736293.00, 9713333.00, 8536258.00,25, 12133
119, 1736150.00, 9713263.00, 8536647.00,25, 12237
120, 1735906.00, 9713144.00, 8536556.00,25, 12342
121, 1735813.00, 9713142.00, 8536577.00,25, 12447
122, 1735661.00, 9713134.00, 8536511.00,25, 12551
123, 1735529.00, 9713025.00, 8536427.00,25, 12656
124, 1735504.00, 9712840.00, 8536464.00,25, 12760
125, 1735447.00, 9712746.00, 8536360.00,25, 12865
126, 1735402.00, 9712695.00, 8536281.00,25, 12969
127, 1735321.00, 9712569.00, 8536357.00,25, 13074
128, 1735336.00, 9712350.00, 8536341.00,25, 13179
129, 1735375.00, 9712220.00, 8536365.00,25, 13283
130, 1735316.00, 9712192.00, 8536595.00,25, 13388
131, 1735306.00, 9712058.00, 8536493.00,25, 13492
132, 1735270.00, 9711959.00, 8536382.00,25, 13597
133, 1735164.00, 9712030.00, 8536192.00,25, 13702
134, 1735076.00, 9712030.00, 8536323.00,25, 13806
135, 1735017.00, 9711976.00, 8536509.00,25, 13911
136, 1734868.00, 9711881.00, 8536552.00,25, 14015
137, 1734659.00, 9712055.00, 8536527.00,25, 14120
138, 1734574.00, 9711921.00, 8536523.00,25, 14225
139, 1734455.00, 9711856.00, 8536716.00,25, 14329
140, 1734283.00, 9711885.00, 8536452.00,25, 14434
141, 1734129.00, 9711816.00, 8536568.00,25, 14538
142, 1734008.00, 9711761.00, 8536254.00,25, 14643
143, 1733948.00, 9711705.00, 8536338.00,25, 14748
144, 1733943.00, 9711508.00, 8536259.00,25, 14852
145, 1733912.00, 9711373.00, 8536108.00,25, 14957
146, 1733831.00, 9711456.00, 8536422.00,25, 15061
147, 1733765.00, 9711370.00, 8536493.00,25, 15166
148, 1733719.00, 9711280.00, 8536329.00,25, 15271
149, 1733740.00, 9711296.00, 8536349.00,25, 15375
150, 1733699.00, 9711281.00, 8536580.00,25, 15480
151, 1733641.00, 9711214.00, 8536418.00,25, 15584
152, 1733548.00, 9711209.00, 8536109.00,25, 15689
153, 1733491.00, 9711160.00, 8536164.00,25, 15794
154, 1733405.00, 9711199.00, 8536382.00,25, 15898
155, 1733261.00, 9711208.00, 8536489.00,25, 16003
156, 1733097.00, 9711181.00, 8536685.00,25, 16107
157, 1732946.00, 9711105.00, 8536495.00,25, 16212
