time,chan1,chan2,chan3
2019-10-11 13:04:37.845695,8571357.0,8388863.0,6977144.0
2019-10-11 13:04:37.939930,8575462.0,8389119.0,6977454.0
2019-10-11 13:04:38.032144,8586367.0,8389119.0,6981332.0
2019-10-11 13:04:38.128036,8601138.0,8388863.0,6995458.0
2019-10-11 13:04:38.221247,8612667.0,8389119.0,7006382.0
2019-10-11 13:04:38.317791,8620841.0,8388863.0,7015829.0
2019-10-11 13:04:38.408376,8620987.0,8389119.0,7022857.0
2019-10-11 13:04:38.500412,8619780.0,8389119.0,7025124.0
2019-10-11 13:04:38.594863,8619888.0,8389119.0,7025986.0
2019-10-11 13:04:38.687104,8619842.0,8389119.0,7026475.0
2019-10-11 13:04:38.785331,8619768.0,8389119.0,7026762.0
2019-10-11 13:04:38.878819,8619649.0,8389119.0,7027252.0
2019-10-11 13:04:38.973518,8619679.0,8388863.0,7027787.0
2019-10-11 13:04:39.062329,8619820.0,8389119.0,7028165.0
2019-10-11 13:04:39.156746,8619668.0,8389119.0,7028254.0
2019-10-11 13:04:39.248780,8619745.0,8388863.0,7028447.0
2019-10-11 13:04:39.344501,8619818.0,8388863.0,7028617.0
2019-10-11 13:04:39.437923,8619782.0,8389119.0,7028713.0
2019-10-11 13:04:39.532362,8619778.0,8389119.0,7028940.0
2019-10-11 13:04:39.622351,8619775.0,8388863.0,7029133.0
2019-10-11 13:04:39.718108,8619776.0,8389119.0,7029175.0
2019-10-11 13:04:39.810004,8619775.0,8388863.0,7029264.0
2019-10-11 13:04:39.906092,8619751.0,8388863.0,7029242.0
2019-10-11 13:04:39.998714,8619732.0,8389119.0,7029384.0
2019-10-11 13:04:40.092146,8619718.0,8389119.0,7029619.0
2019-10-11 13:04:40.183262,8619592.0,8389119.0,7029580.0
2019-10-11 13:04:40.277989,8619606.0,8389119.0,7029580.0
2019-10-11 13:04:40.374068,8619670.0,8389119.0,7029647.0
2019-10-11 13:04:40.466406,8619690.0,8388863.0,7029780.0
2019-10-11 13:04:40.559426,8619670.0,8388863.0,7029919.0
2019-10-11 13:04:40.652515,8619729.0,8389119.0,7030004.0
2019-10-11 13:04:40.747218,8619657.0,8388863.0,7030112.0
2019-10-11 13:04:40.838564,8619595.0,8388863.0,7030300.0
2019-10-11 13:04:40.932661,8619686.0,8389119.0,7030437.0
2019-10-11 13:04:41.026768,8619686.0,8389119.0,7030524.0
2019-10-11 13:04:41.123125,8619668.0,8389119.0,7030591.0
2019-10-11 13:04:41.216639,8619670.0,8389119.0,7030616.0
2019-10-11 13:04:41.307891,8619774.0,8389119.0,7030607.0
2019-10-11 13:04:41.400395,8619688.0,8388863.0,7030454.0
2019-10-11 13:04:41.493643,8619682.0,8389119.0,7030495.0
2019-10-11 13:04:41.587523,8619861.0,8389119.0,7030591.0
2019-10-11 13:04:41.684625,8619817.0,8388863.0,7030568.0
