Date: 20.2.2020 , In use by: Mena
Daytime: 12:11:3, Temperature: 26°C
ID, strain4A, strain4B, loadcell y, temp [°C], runtime [ms]
BASELINE Time: 12:11:27
85, 1857935.00, 8961169.00, 8492593.00,26, 8673
86, 1857940.00, 8961140.00, 8492706.00,26, 8778
87, 1857976.00, 8961186.00, 8492687.00,26, 8882
88, 1857990.00, 8961145.00, 8492947.00,26, 8987
89, 1857960.00, 8960830.00, 8493423.00,26, 9091
90, 1857945.00, 8960918.00, 8493425.00,26, 9196
91, 1857899.00, 8961083.00, 8493096.00,26, 9300
92, 1857948.00, 8961024.00, 8493122.00,26, 9405
93, 1858049.00, 8960649.00, 8493840.00,26, 9509
94, 1858010.00, 8960351.00, 8494975.00,26, 9614
95, 1857875.00, 8960838.00, 8494198.00,26, 9718
96, 1857556.00, 8961768.00, 8493988.00,26, 9823
97, 1857307.00, 8964172.00, 8494346.00,26, 9927
98, 1857108.00, 8964863.00, 8493970.00,26, 10032
99, 1857004.00, 8965389.00, 8494250.00,26, 10136
100, 1857005.00, 8965161.00, 8496557.00,26, 10241
101, 1856821.00, 8965399.00, 8498719.00,26, 10345
102, 1856405.00, 8967335.00, 8494765.00,26, 10450
103, 1856217.00, 8968576.00, 8494646.00,26, 10554
104, 1856295.00, 8968804.00, 8495882.00,26, 10659
105, 1856753.00, 8966062.00, 8499856.00,26, 10763
106, 1857060.00, 8965343.00, 8503060.00,26, 10868
107, 1857220.00, 8965190.00, 8502244.00,26, 10972
108, 1858852.00, 8958699.00, 8507404.00,26, 11077
109, 1860067.00, 8953466.00, 8522999.00,26, 11181
110, 1861755.00, 8948505.00, 8530394.00,26, 11286
111, 1868548.00, 8934677.00, 8536403.00,26, 11390
112, 1874924.00, 8893886.00, 8537268.00,26, 11495
113, 1875146.00, 8880930.00, 8535574.00,26, 11599
114, 1875041.00, 8881025.00, 8535087.00,26, 11704
115, 1874867.00, 8881376.00, 8535126.00,26, 11808
116, 1874750.00, 8881638.00, 8535581.00,26, 11913
117, 1874679.00, 8881987.00, 8535446.00,26, 12017
118, 1874645.00, 8882110.00, 8535471.00,26, 12122
119, 1874611.00, 8882150.00, 8535242.00,26, 12226
120, 1874641.00, 8882058.00, 8535096.00,26, 12331
121, 1874585.00, 8882063.00, 8535083.00,26, 12435
122, 1874550.00, 8882162.00, 8535264.00,26, 12540
123, 1874569.00, 8882152.00, 8535294.00,26, 12644
124, 1874549.00, 8882096.00, 8535285.00,26, 12749
125, 1874540.00, 8882046.00, 8535080.00,26, 12853
126, 1874546.00, 8881944.00, 8535156.00,26, 12958
127, 1874549.00, 8881903.00, 8535281.00,26, 13062
128, 1874541.00, 8881968.00, 8535247.00,26, 13167
129, 1874512.00, 8881940.00, 8535316.00,26, 13271
