Date: 20.2.2020 , In use by: Mena
Daytime: 11:21:7, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:21:20
218, 1696123.00, 9740142.00, 8542717.00,25, 22591
219, 1692259.00, 9743261.00, 8546052.00,25, 22695
220, 1692192.00, 9742635.00, 8545538.00,25, 22800
221, 1691269.00, 9743564.00, 8549877.00,25, 22905
222, 1688709.00, 9744196.00, 8552624.00,25, 23009
223, 1681087.00, 9747820.00, 8558604.00,25, 23114
224, 1672190.00, 9760783.00, 8567020.00,25, 23218
225, 1661190.00, 9767049.00, 8576664.00,25, 23323
226, 1647900.00, 9772094.00, 8580584.00,25, 23428
227, 1643370.00, 9771971.00, 8581531.00,25, 23532
228, 1643785.00, 9770610.00, 8579972.00,25, 23637
229, 1642618.00, 9769950.00, 8578177.00,25, 23741
230, 1637775.00, 9773016.00, 8580349.00,25, 23846
231, 1636749.00, 9775370.00, 8581416.00,25, 23951
232, 1636887.00, 9774360.00, 8580698.00,25, 24055
233, 1636614.00, 9774030.00, 8580700.00,25, 24160
234, 1636092.00, 9774074.00, 8580777.00,25, 24264
235, 1635715.00, 9774030.00, 8580762.00,25, 24369
236, 1635107.00, 9774110.00, 8580752.00,25, 24474
237, 1634705.00, 9774238.00, 8580680.00,25, 24578
238, 1634516.00, 9774189.00, 8580617.00,25, 24683
239, 1634344.00, 9774113.00, 8580613.00,25, 24788
240, 1634224.00, 9774092.00, 8580609.00,25, 24892
241, 1634105.00, 9774165.00, 8580707.00,25, 24997
242, 1633973.00, 9774214.00, 8580672.00,25, 25101
243, 1633816.00, 9774325.00, 8580695.00,25, 25206
244, 1633447.00, 9774647.00, 8580834.00,25, 25311
245, 1633056.00, 9774967.00, 8580791.00,25, 25415
246, 1632849.00, 9775046.00, 8580640.00,25, 25520
247, 1632644.00, 9775096.00, 8580559.00,25, 25624
248, 1632435.00, 9775001.00, 8580588.00,25, 25729
249, 1632397.00, 9774726.00, 8580709.00,25, 25834
250, 1632293.00, 9774492.00, 8580724.00,25, 25938
251, 1632203.00, 9774348.00, 8580692.00,25, 26043
