Date: 28.2.2020 , In use by: Mena
Daytime: 15:5:57, Temperature: 13°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:6:2
328, 0.00, 0.00, 8440475.00, 13, 33827
329, 0.00, 0.00, 8444095.00, 13, 33931
330, 0.00, 0.00, 8445782.00, 13, 34035
331, 0.00, 0.00, 8447436.00, 13, 34139
332, 0.00, 0.00, 8449080.00, 13, 34242
333, 0.00, 0.00, 8450593.00, 13, 34346
334, 0.00, 0.00, 8451959.00, 13, 34450
335, 0.00, 0.00, 8453382.00, 13, 34554
336, 0.00, 0.00, 8454678.00, 13, 34657
337, 0.00, 0.00, 8455946.00, 13, 34761
338, 0.00, 0.00, 8457127.00, 13, 34865
339, 0.00, 0.00, 8458137.00, 13, 34969
