Date: 28.2.2020 , In use by: Mena
Daytime: 15:29:51, Temperature: 20°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:29:52
79, 0.00, 5767670.00, 7368050.00, 18, 7968
80, 0.00, 5767692.00, 7368184.00, 18, 8072
81, 0.00, 5767703.00, 7368304.00, 18, 8175
82, 0.00, 5767732.00, 7368367.00, 18, 8279
83, 0.00, 5767821.00, 7368456.00, 18, 8382
84, 0.00, 5767845.00, 7368540.00, 18, 8486
85, 0.00, 5767837.00, 7368630.00, 18, 8589
86, 0.00, 5767826.00, 7368643.00, 18, 8693
87, 0.00, 5767862.00, 7368702.00, 18, 8796
88, 0.00, 5767914.00, 7368831.00, 18, 8900
89, 0.00, 5767914.00, 7368906.00, 18, 9003
90, 0.00, 5768044.00, 7368939.00, 18, 9107
91, 0.00, 5768120.00, 7368948.00, 18, 9210
92, 0.00, 5768109.00, 7368912.00, 18, 9314
93, 0.00, 5768110.00, 7368984.00, 18, 9417
94, 0.00, 5768152.00, 7369015.00, 18, 9521
95, 0.00, 5768152.00, 7368938.00, 18, 9624
96, 0.00, 5768194.00, 7368960.00, 18, 9728
97, 0.00, 5768234.00, 7369081.00, 18, 9831
98, 0.00, 5768240.00, 7368983.00, 18, 9935
99, 0.00, 5768293.00, 7369003.00, 18, 10038
100, 0.00, 5768354.00, 7368945.00, 18, 10141
101, 0.00, 5768351.00, 7369002.00, 18, 10245
102, 0.00, 5768409.00, 7369040.00, 18, 10348
103, 0.00, 5768444.00, 7369066.00, 18, 10452
104, 0.00, 5768435.00, 7369074.00, 18, 10555
105, 0.00, 5768445.00, 7369092.00, 18, 10659
106, 0.00, 5768457.00, 7369179.00, 18, 10762
107, 0.00, 5768426.00, 7369272.00, 18, 10866
108, 0.00, 5768470.00, 7369283.00, 18, 10969
109, 0.00, 5768589.00, 7369343.00, 18, 11073
110, 0.00, 5768601.00, 7369433.00, 18, 11176
111, 0.00, 5768632.00, 7369480.00, 18, 11280
112, 0.00, 5768659.00, 7369473.00, 18, 11383
113, 0.00, 5768651.00, 7369486.00, 18, 11487
114, 0.00, 5768648.00, 7369626.00, 18, 11590
115, 0.00, 5768685.00, 7369706.00, 18, 11694
116, 0.00, 5768668.00, 7369706.00, 18, 11797
117, 0.00, 5768691.00, 7369752.00, 18, 11901
118, 0.00, 5768715.00, 7369795.00, 18, 12004
119, 0.00, 5768762.00, 7369802.00, 18, 12108
120, 0.00, 5768833.00, 7369849.00, 18, 12211
121, 0.00, 5768820.00, 7369948.00, 18, 12315
122, 0.00, 5768867.00, 7369905.00, 18, 12418
123, 0.00, 5768933.00, 7370079.00, 18, 12522
124, 0.00, 5768996.00, 7370082.00, 18, 12625
125, 0.00, 5768983.00, 7370086.00, 18, 12729
126, 0.00, 5768899.00, 7370187.00, 18, 12832
127, 0.00, 5768950.00, 7370273.00, 18, 12936
128, 0.00, 5769032.00, 7370290.00, 18, 13039
129, 0.00, 5769112.00, 7370386.00, 18, 13143
130, 0.00, 5769149.00, 7370500.00, 18, 13246
131, 0.00, 5769094.00, 7370534.00, 18, 13350
132, 0.00, 5769133.00, 7370559.00, 18, 13453
133, 0.00, 5769208.00, 7370629.00, 18, 13557
134, 0.00, 5769211.00, 7370690.00, 18, 13660
135, 0.00, 5769217.00, 7370682.00, 18, 13764
136, 0.00, 5769274.00, 7370817.00, 18, 13867
137, 0.00, 5769270.00, 7370826.00, 18, 13971
138, 0.00, 5769273.00, 7370815.00, 18, 14074
139, 0.00, 5769338.00, 7370884.00, 18, 14178
140, 0.00, 5769339.00, 7370915.00, 18, 14281
141, 0.00, 5769360.00, 7370928.00, 18, 14385
142, 0.00, 5769398.00, 7370995.00, 18, 14488
143, 0.00, 5769430.00, 7371063.00, 18, 14592
144, 0.00, 5769504.00, 7371091.00, 18, 14695
145, 0.00, 5769529.00, 7371124.00, 18, 14799
146, 0.00, 5769527.00, 7371177.00, 18, 14902
147, 0.00, 5769548.00, 7371259.00, 18, 15006
148, 0.00, 5769586.00, 7371225.00, 18, 15109
149, 0.00, 5769639.00, 7371312.00, 18, 15213
150, 0.00, 5769661.00, 7371371.00, 18, 15316
151, 0.00, 5769680.00, 7371425.00, 18, 15420
152, 0.00, 5769719.00, 7371461.00, 18, 15523
153, 0.00, 5769701.00, 7371478.00, 18, 15627
154, 0.00, 5769725.00, 7371491.00, 18, 15730
155, 0.00, 5769725.00, 7371585.00, 18, 15834
156, 0.00, 5769778.00, 7371635.00, 18, 15937
157, 0.00, 5769797.00, 7371705.00, 18, 16041
158, 0.00, 5769782.00, 7371735.00, 18, 16144
159, 0.00, 5769835.00, 7371766.00, 18, 16248
160, 0.00, 5769909.00, 7371885.00, 18, 16351
161, 0.00, 5769944.00, 7371950.00, 18, 16455
162, 0.00, 5769923.00, 7372046.00, 18, 16558
163, 0.00, 5769970.00, 7372115.00, 18, 16662
164, 0.00, 5769958.00, 7372155.00, 18, 16765
165, 0.00, 5769984.00, 7372230.00, 18, 16869
166, 0.00, 5769994.00, 7372268.00, 18, 16972
167, 0.00, 5770052.00, 7372256.00, 18, 17076
168, 0.00, 5770144.00, 7372335.00, 18, 17179
169, 0.00, 5770202.00, 7372396.00, 18, 17283
170, 0.00, 5770142.00, 7372475.00, 18, 17386
171, 0.00, 5770142.00, 7372523.00, 18, 17490
172, 0.00, 5770154.00, 7372655.00, 18, 17593
173, 0.00, 5770159.00, 7372722.00, 18, 17697
174, 0.00, 5770213.00, 7372781.00, 18, 17800
175, 0.00, 5770243.00, 7372804.00, 18, 17904
176, 0.00, 5770276.00, 7372774.00, 18, 18007
177, 0.00, 5770329.00, 7372840.00, 18, 18111
178, 0.00, 5770338.00, 7372987.00, 18, 18214
179, 0.00, 5771197.00, 7374365.00, 18, 18318
180, 0.00, 5774575.00, 7378846.00, 18, 18421
181, 0.00, 5779309.00, 7383597.00, 18, 18525
182, 0.00, 5784590.00, 7387503.00, 18, 18628
183, 0.00, 5789525.00, 7390966.00, 18, 18732
184, 0.00, 5792692.00, 7394359.00, 18, 18835
185, 0.00, 5795292.00, 7399073.00, 18, 18939
186, 0.00, 5798347.00, 7400315.00, 18, 19042
187, 0.00, 5801498.00, 7401789.00, 18, 19146
188, 0.00, 5804919.00, 7402619.00, 18, 19249
189, 0.00, 5808392.00, 7403173.00, 18, 19353
190, 0.00, 5816320.00, 7403563.00, 18, 19456
191, 0.00, 5821007.00, 7403547.00, 18, 19560
192, 0.00, 5825650.00, 7403324.00, 18, 19664
193, 0.00, 5829964.00, 7402988.00, 18, 19767
194, 0.00, 5833672.00, 7402589.00, 18, 19871
195, 0.00, 5836819.00, 7401873.00, 18, 19974
196, 0.00, 5839391.00, 7401067.00, 18, 20078
197, 0.00, 5840802.00, 7399185.00, 18, 20181
198, 0.00, 5842807.00, 7397911.00, 18, 20285
