time,chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,chan9,chan10
2019-12-20 16:35:31.242452,8314166.0,8358170.0,6759292.0,8385821.0,8267403.0,7585663.0,8400397.0,9208968.0,8881692.0,7894545.0
2019-12-20 16:35:31.357317,8316328.0,8329225.0,6173490.0,8391141.0,8282686.0,7583233.0,8400514.0,9208509.0,8881137.0,7894780.0
2019-12-20 16:35:31.472183,8357883.0,8391744.0,8077250.0,8393280.0,7864785.0,7581146.0,8400108.0,9206034.0,8880157.0,7895328.0
2019-12-20 16:35:31.590332,8377983.0,8400798.0,7806032.0,8392233.0,7805687.0,7581108.0,8399972.0,9203820.0,8879776.0,7895446.0
2019-12-20 16:35:31.705119,8378843.0,8395886.0,7749214.0,8391228.0,8387481.0,7579832.0,8400059.0,9202878.0,8878876.0,7895877.0
2019-12-20 16:35:31.819442,8348216.0,8393442.0,7505729.0,8391922.0,8385064.0,7578565.0,8400229.0,9203242.0,8879123.0,7896003.0
2019-12-20 16:35:31.934646,8342661.0,8403506.0,8279401.0,8397445.0,8152336.0,7582610.0,8400344.0,9205537.0,8879900.0,7894358.0
2019-12-20 16:35:32.049404,8349516.0,8405786.0,8143434.0,8396517.0,7955313.0,7581759.0,8399749.0,9203837.0,8879463.0,7895165.0
2019-12-20 16:35:32.167542,8296085.0,8394469.0,6036463.0,8388339.0,7722174.0,7575806.0,8399989.0,9200377.0,8878099.0,7896651.0
2019-12-20 16:35:32.282959,8354050.0,8395410.0,6347619.0,8389110.0,7750675.0,7572369.0,8400111.0,9199559.0,8877700.0,7897107.0
2019-12-20 16:35:32.397750,8344454.0,8390151.0,5980660.0,8388215.0,7259499.0,7571450.0,8400078.0,9201126.0,8877332.0,7897606.0
2019-12-20 16:35:32.512466,8368096.0,8388849.0,1886470.0,8382992.0,7654631.0,7586902.0,8400213.0,9207190.0,8878363.0,7897632.0
2019-12-20 16:35:32.622568,8338434.0,8384567.0,0.0,8376652.0,7162383.0,7608275.0,8400453.0,9215338.0,8880588.0,7897486.0
2019-12-20 16:35:32.737788,8316686.0,8373340.0,1859643.0,8376070.0,7827685.0,7625976.0,8400192.0,9221857.0,8884840.0,7896355.0
2019-12-20 16:35:32.848253,8327350.0,8380590.0,0.0,8318819.0,7688205.0,7651064.0,8400290.0,9244093.0,8892806.0,7894304.0
